"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_utp_seluruhnya_dijual";"persentase_utp_sebagian_besar_dijual";"persentase_utp_sebagian_besar_dikonsumsi";"persentase_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310010] PAGA";"53";"5310";"5310010";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310011] MEGO";"53";"5310";"5310011";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310012] TANA WAWO";"53";"5310";"5310012";"95.24";"0.00";"4.76";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310020] LELA";"53";"5310";"5310020";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310030] BOLA";"53";"5310";"5310030";"97.77";"1.68";"0.00";"0.56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310031] DORENG";"53";"5310";"5310031";"96.75";"0.00";"0.00";"3.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310032] MAPITARA";"53";"5310";"5310032";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310040] TALIBURA";"53";"5310";"5310040";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310041] WAIGETE";"53";"5310";"5310041";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310042] WAIBLAMA";"53";"5310";"5310042";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310050] KEWAPANTE";"53";"5310";"5310050";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"98.93";"0.53";"0.00";"0.53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310052] KANGAE";"53";"5310";"5310052";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310061] PALUE";"53";"5310";"5310061";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310062] KOTING";"53";"5310";"5310062";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310070] NITA";"53";"5310";"5310070";"95.65";"4.35";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310071] MAGEPANDA";"53";"5310";"5310071";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310080] ALOK";"53";"5310";"5310080";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310081] ALOK BARAT";"53";"5310";"5310081";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"96.77";"0.00";"0.00";"3.23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310] SIKKA";"53";"5310";"5310999";"98.43";"0.55";"0.08";"0.94"
