"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_usaha_selain_ternak_besar_produksi_daging";"n_utp_usaha_selain_ternak_besar_produksi_susu_segar";"n_utp_usaha_selain_ternak_besar_produksi_telur_konsumsi";"n_utp_usaha_selain_ternak_besar_produksi_telur_tetas";"n_utp_usaha_selain_ternak_besar_produksi_semen_ternak";"n_utp_usaha_selain_ternak_besar_produksi_embrio";"n_utp_usaha_selain_ternak_besar_produksi_madu";"n_utp_usaha_selain_ternak_besar_produksi_liur_atau_sarang";"n_utp_usaha_selain_ternak_besar_produksi_bulu";"n_utp_usaha_selain_ternak_besar_produksi_kepompong";"n_utp_usaha_selain_ternak_besar_produksi_kulit";"n_utp_usaha_selain_ternak_besar_produksi_lilin_malam";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310010] PAGA";"53";"5310";"5310010";"393";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"393";"393"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310011] MEGO";"53";"5310";"5310011";"626";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"626";"626"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310012] TANA WAWO";"53";"5310";"5310012";"541";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"541";"541"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310020] LELA";"53";"5310";"5310020";"625";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"625";"625"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310030] BOLA";"53";"5310";"5310030";"362";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"362";"362"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310031] DORENG";"53";"5310";"5310031";"305";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"305";"305"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310032] MAPITARA";"53";"5310";"5310032";"298";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"298";"298"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310040] TALIBURA";"53";"5310";"5310040";"840";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"840";"840"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310041] WAIGETE";"53";"5310";"5310041";"897";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"897";"897"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310042] WAIBLAMA";"53";"5310";"5310042";"275";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"275";"275"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310050] KEWAPANTE";"53";"5310";"5310050";"360";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"360";"360"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"243";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"243";"243"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310052] KANGAE";"53";"5310";"5310052";"627";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"628";"628"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310061] PALUE";"53";"5310";"5310061";"196";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"196";"196"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310062] KOTING";"53";"5310";"5310062";"139";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"140";"140"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310063] NELLE";"53";"5310";"5310063";"127";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"127";"127"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310070] NITA";"53";"5310";"5310070";"594";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"594";"594"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310071] MAGEPANDA";"53";"5310";"5310071";"419";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"419";"419"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310080] ALOK";"53";"5310";"5310080";"257";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"257";"257"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310081] ALOK BARAT";"53";"5310";"5310081";"304";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"304";"304"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"639";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"639";"639"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310] SIKKA";"53";"5310";"5310999";"9067";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"9069";"9069"
