"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310010] PAGA";"53";"5310";"5310010";"87";"62";"11";"233";"393";"393"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310011] MEGO";"53";"5310";"5310011";"114";"37";"15";"460";"626";"626"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310012] TANA WAWO";"53";"5310";"5310012";"117";"64";"53";"307";"541";"541"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310020] LELA";"53";"5310";"5310020";"61";"142";"20";"402";"625";"625"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310030] BOLA";"53";"5310";"5310030";"84";"20";"6";"252";"362";"362"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310031] DORENG";"53";"5310";"5310031";"26";"46";"24";"209";"305";"305"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310032] MAPITARA";"53";"5310";"5310032";"12";"38";"103";"145";"298";"298"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310040] TALIBURA";"53";"5310";"5310040";"138";"57";"13";"632";"840";"840"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310041] WAIGETE";"53";"5310";"5310041";"162";"124";"91";"520";"897";"897"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310042] WAIBLAMA";"53";"5310";"5310042";"37";"13";"1";"224";"275";"275"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310050] KEWAPANTE";"53";"5310";"5310050";"110";"34";"2";"214";"360";"360"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"35";"24";"10";"174";"243";"243"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310052] KANGAE";"53";"5310";"5310052";"192";"139";"10";"287";"628";"628"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310061] PALUE";"53";"5310";"5310061";"15";"135";"20";"26";"196";"196"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310062] KOTING";"53";"5310";"5310062";"23";"33";"5";"79";"140";"140"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310063] NELLE";"53";"5310";"5310063";"39";"14";"4";"70";"127";"127"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310070] NITA";"53";"5310";"5310070";"146";"90";"6";"352";"594";"594"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310071] MAGEPANDA";"53";"5310";"5310071";"87";"63";"6";"263";"419";"419"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310080] ALOK";"53";"5310";"5310080";"100";"36";"5";"116";"257";"257"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310081] ALOK BARAT";"53";"5310";"5310081";"127";"25";"9";"143";"304";"304"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"276";"68";"6";"289";"639";"639"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4203";"[5310] SIKKA";"53";"5310";"5310999";"1988";"1264";"420";"5397";"9069";"9069"
