"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_seluruhnya_dijual";"n_rtup_sebagian_besar_dijual";"n_rtup_sebagian_besar_dikonsumsi_sendiri";"n_rtup_seluruhnya_dikonsumsi_sendiri";"n_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310010] PAGA";"53";"5310";"5310010";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310020] LELA";"53";"5310";"5310020";"2";"6";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310030] BOLA";"53";"5310";"5310030";"0";"2";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310031] DORENG";"53";"5310";"5310031";"0";"2";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"19";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310050] KEWAPANTE";"53";"5310";"5310050";"14";"14";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"2";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310052] KANGAE";"53";"5310";"5310052";"6";"6";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310062] KOTING";"53";"5310";"5310062";"2";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310070] NITA";"53";"5310";"5310070";"9";"11";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310071] MAGEPANDA";"53";"5310";"5310071";"7";"18";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310080] ALOK";"53";"5310";"5310080";"0";"3";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310] SIKKA";"53";"5310";"5310999";"45";"86";"5";"0";"1"
