"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310010] PAGA";"53";"5310";"5310010";"1";"1";"0";"1";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310020] LELA";"53";"5310";"5310020";"1";"0";"2";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310030] BOLA";"53";"5310";"5310030";"2";"0";"1";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"3";"17";"20";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310040] TALIBURA";"53";"5310";"5310040";"5";"1";"1";"3";"10";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"2";"4";"1";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310042] WAIBLAMA";"53";"5310";"5310042";"6";"0";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4";"3";"1";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4";"4";"4";"4";"16";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310052] KANGAE";"53";"5310";"5310052";"3";"2";"0";"1";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310062] KOTING";"53";"5310";"5310062";"1";"0";"1";"4";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310063] NELLE";"53";"5310";"5310063";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310070] NITA";"53";"5310";"5310070";"0";"1";"0";"1";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2";"3";"0";"3";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310080] ALOK";"53";"5310";"5310080";"17";"22";"6";"9";"54";"54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310081] ALOK BARAT";"53";"5310";"5310081";"33";"14";"4";"13";"64";"64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"4";"2";"2";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4402";"[5310] SIKKA";"53";"5310";"5310999";"85";"56";"29";"57";"227";"227"
