"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_buru_dan_tangkap_satwa_liar_punya_izin";"n_utp_buru_dan_tangkap_satwa_liar_punya_izin";"volume_produksi_punya_izin";"nilai_produksi_punya_izin";"rerata_produksi_per_komoditas_punya_izin";"rerata_produksi_per_rtup_punya_izin";"rerata_produksi_per_utp_punya_izin";"n_rtup_buru_dan_tangkap_satwa_liar_tak_punya_izin";"n_utp_buru_dan_tangkap_satwa_liar_tak_punya_izin";"volume_produksi_tak_punya_izin";"nilai_produksi_tak_punya_izin";"rerata_produksi_per_komoditas_tak_punya_izin";"rerata_produksi_per_rtup_tak_punya_izin";"rerata_produksi_per_utp_tak_punya_izin";"n_rtup_buru_dan_tangkap_satwa_liar_ada_izin_dan_tidak";"n_utp_buru_dan_tangkap_satwa_liar_ada_izin_dan_tidak";"volume_produksi_ada_izin_dan_tidak";"nilai_produksi_ada_izin_dan_tidak";"rerata_produksi_per_komoditas_ada_izin_dan_tidak";"rerata_produksi_per_rtup_ada_izin_dan_tidak";"rerata_produksi_per_utp_ada_izin_dan_tidak"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310010] PAGA";"53";"5310";"5310010";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310011] MEGO";"53";"5310";"5310011";"1";"1";"5.00";"5.00";"1000.00";"5000.00";"5000.00";"0";"0";"0.00";"0.00";-;-;-;"1";"1";"5.00";"5.00";"1000.00";"5000.00";"5000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310012] TANA WAWO";"53";"5310";"5310012";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0.00";"0.00";-;-;-;"1";"1";"4.00";"1.00";"250.00";"1000.00";"1000.00";"1";"1";"4.00";"1.00";"250.00";"1000.00";"1000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310030] BOLA";"53";"5310";"5310030";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310031] DORENG";"53";"5310";"5310031";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310032] MAPITARA";"53";"5310";"5310032";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"1";"2.00";"0.10";"50.00";"100.00";"100.00";"10";"10";"81.00";"21.70";"267.90";"2170.00";"2170.00";"11";"11";"83.00";"21.80";"262.65";"1981.82";"1981.82"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"0";"0.00";"0.00";-;-;-;"1";"1";"1.00";"4.00";"4000.00";"4000.00";"4000.00";"1";"1";"1.00";"4.00";"4000.00";"4000.00";"4000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6252";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
