"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_panen_sendiri";"n_utp_ijon";"n_utp_tebas";"n_utp_tdk_panen";"n_utp_blm_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310010] PAGA";"53";"5310";"5310010";"407";"0";"0";"38";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310011] MEGO";"53";"5310";"5310011";"118";"0";"0";"1";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310012] TANA WAWO";"53";"5310";"5310012";"3";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310020] LELA";"53";"5310";"5310020";"639";"0";"0";"6";"86"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310030] BOLA";"53";"5310";"5310030";"686";"1";"0";"51";"47"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310031] DORENG";"53";"5310";"5310031";"395";"0";"0";"27";"26"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310032] MAPITARA";"53";"5310";"5310032";"444";"1";"0";"10";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310040] TALIBURA";"53";"5310";"5310040";"2834";"1";"0";"22";"163"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310041] WAIGETE";"53";"5310";"5310041";"2861";"0";"0";"9";"85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1061";"1";"2";"8";"67"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310050] KEWAPANTE";"53";"5310";"5310050";"849";"0";"0";"20";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"496";"0";"0";"11";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310052] KANGAE";"53";"5310";"5310052";"867";"0";"0";"52";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310061] PALUE";"53";"5310";"5310061";"1346";"0";"0";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310062] KOTING";"53";"5310";"5310062";"413";"0";"0";"16";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310063] NELLE";"53";"5310";"5310063";"399";"0";"0";"4";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310070] NITA";"53";"5310";"5310070";"925";"0";"0";"21";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1120";"0";"1";"2";"57"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310080] ALOK";"53";"5310";"5310080";"804";"0";"0";"16";"38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310081] ALOK BARAT";"53";"5310";"5310081";"438";"0";"1";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"793";"0";"0";"0";"59"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310] SIKKA";"53";"5310";"5310999";"17898";"4";"4";"314";"814"
