"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_selain_ternak_besar_tujuan_pengembangbiakan";"n_rtup_selain_ternak_besar_tujuan_penggemukan";"n_rtup_selain_ternak_besar_tujuan_pembibitan";"n_rtup_selain_ternak_besar_tujuan_pembesaran";"n_rtup_selain_ternak_besar_tujuan_produksi";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310010] PAGA";"53";"5310";"5310010";"10";"0";"0";"0";"0";"10";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310011] MEGO";"53";"5310";"5310011";"29";"2";"0";"0";"0";"31";"31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310012] TANA WAWO";"53";"5310";"5310012";"9";"2";"0";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310020] LELA";"53";"5310";"5310020";"15";"1";"0";"0";"0";"16";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310030] BOLA";"53";"5310";"5310030";"1";"1";"0";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310031] DORENG";"53";"5310";"5310031";"3";"4";"0";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310032] MAPITARA";"53";"5310";"5310032";"19";"4";"0";"0";"0";"23";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"1";"0";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"2";"0";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310052] KANGAE";"53";"5310";"5310052";"13";"4";"0";"0";"0";"17";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310062] KOTING";"53";"5310";"5310062";"4";"2";"0";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310063] NELLE";"53";"5310";"5310063";"7";"0";"0";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310070] NITA";"53";"5310";"5310070";"16";"12";"0";"0";"0";"28";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310071] MAGEPANDA";"53";"5310";"5310071";"29";"43";"0";"0";"0";"72";"72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310080] ALOK";"53";"5310";"5310080";"7";"3";"0";"0";"0";"10";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4";"12";"0";"0";"0";"16";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"5";"6";"0";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310] SIKKA";"53";"5310";"5310999";"181";"99";"0";"0";"0";"280";"280"
