"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310010] PAGA";"53";"5310";"5310010";"874";"0";"0";"874";"874";"0";"874"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310011] MEGO";"53";"5310";"5310011";"1645";"0";"0";"1645";"1645";"0";"1645"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310012] TANA WAWO";"53";"5310";"5310012";"1379";"0";"0";"1379";"1379";"0";"1379"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310020] LELA";"53";"5310";"5310020";"162";"0";"0";"162";"162";"0";"162"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310030] BOLA";"53";"5310";"5310030";"831";"0";"0";"831";"831";"0";"831"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310031] DORENG";"53";"5310";"5310031";"953";"0";"0";"953";"953";"0";"953"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310032] MAPITARA";"53";"5310";"5310032";"1144";"0";"0";"1144";"1144";"0";"1144"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310040] TALIBURA";"53";"5310";"5310040";"1139";"0";"0";"1139";"1139";"0";"1139"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310041] WAIGETE";"53";"5310";"5310041";"1044";"1";"0";"1045";"1044";"1";"1045"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310042] WAIBLAMA";"53";"5310";"5310042";"978";"0";"0";"978";"978";"0";"978"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310050] KEWAPANTE";"53";"5310";"5310050";"291";"0";"0";"291";"291";"0";"291"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"796";"0";"0";"796";"796";"0";"796"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310052] KANGAE";"53";"5310";"5310052";"475";"0";"0";"475";"475";"0";"475"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310062] KOTING";"53";"5310";"5310062";"46";"0";"0";"46";"46";"0";"46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310063] NELLE";"53";"5310";"5310063";"18";"0";"0";"18";"18";"0";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310070] NITA";"53";"5310";"5310070";"1903";"0";"0";"1903";"1903";"0";"1903"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310071] MAGEPANDA";"53";"5310";"5310071";"128";"0";"0";"128";"128";"0";"128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310080] ALOK";"53";"5310";"5310080";"13";"0";"0";"13";"13";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310081] ALOK BARAT";"53";"5310";"5310081";"63";"0";"0";"63";"63";"0";"63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"83";"0";"0";"83";"83";"0";"83"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310] SIKKA";"53";"5310";"5310999";"13965";"1";"0";"13966";"13965";"1";"13966"
