"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_dipanen_sendiri";"n_utp_diijonkan";"n_utp_ditebaskan";"n_utp_belum_panen_habis";"n_utp_puso";"n_utp_tidak_panen";"n_utp_belum_panen";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310010] PAGA";"53";"5310";"5310010";"4";"0";"0";"1";"0";"0";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310011] MEGO";"53";"5310";"5310011";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310012] TANA WAWO";"53";"5310";"5310012";"5";"0";"0";"0";"0";"0";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310020] LELA";"53";"5310";"5310020";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310030] BOLA";"53";"5310";"5310030";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310031] DORENG";"53";"5310";"5310031";"4";"0";"0";"1";"0";"0";"2";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"0";"0";"0";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310040] TALIBURA";"53";"5310";"5310040";"10";"0";"0";"0";"1";"0";"0";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310041] WAIGETE";"53";"5310";"5310041";"14";"0";"0";"0";"0";"0";"2";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"0";"0";"0";"0";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310052] KANGAE";"53";"5310";"5310052";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310070] NITA";"53";"5310";"5310070";"75";"0";"0";"0";"0";"0";"8";"78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310071] MAGEPANDA";"53";"5310";"5310071";"12";"0";"0";"0";"0";"0";"0";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4";"0";"0";"0";"0";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2433";"[5310] SIKKA";"53";"5310";"5310999";"137";"0";"0";"2";"1";"0";"13";"145"
