"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya_tanaman_kehutanan";"n_utp_budidaya_tanaman_kehutanan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310010] PAGA";"53";"5310";"5310010";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310011] MEGO";"53";"5310";"5310011";"12";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310012] TANA WAWO";"53";"5310";"5310012";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310020] LELA";"53";"5310";"5310020";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310030] BOLA";"53";"5310";"5310030";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310031] DORENG";"53";"5310";"5310031";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310032] MAPITARA";"53";"5310";"5310032";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310040] TALIBURA";"53";"5310";"5310040";"71";"71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310041] WAIGETE";"53";"5310";"5310041";"41";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310042] WAIBLAMA";"53";"5310";"5310042";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310050] KEWAPANTE";"53";"5310";"5310050";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"22";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310052] KANGAE";"53";"5310";"5310052";"19";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310061] PALUE";"53";"5310";"5310061";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310062] KOTING";"53";"5310";"5310062";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310063] NELLE";"53";"5310";"5310063";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310070] NITA";"53";"5310";"5310070";"43";"43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310071] MAGEPANDA";"53";"5310";"5310071";"21";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310080] ALOK";"53";"5310";"5310080";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310] SIKKA";"53";"5310";"5310999";"308";"309"
