"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_rtup_seluruhnya_dijual";"persentase_rtup_sebagian_besar_dijual";"persentase_rtup_sebagian_besar_dikonsumsi";"persentase_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310010] PAGA";"53";"5310";"5310010";"99.52";"0.24";"0.00";"0.24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310011] MEGO";"53";"5310";"5310011";"99.31";"0.19";"0.25";"0.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310012] TANA WAWO";"53";"5310";"5310012";"99.34";"0.29";"0.07";"0.29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310020] LELA";"53";"5310";"5310020";"93.06";"5.56";"0.00";"1.39"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310030] BOLA";"53";"5310";"5310030";"98.21";"1.67";"0.13";"0.13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310031] DORENG";"53";"5310";"5310031";"98.10";"1.12";"0.22";"0.89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310032] MAPITARA";"53";"5310";"5310032";"99.44";"0.19";"0.00";"0.37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310040] TALIBURA";"53";"5310";"5310040";"97.45";"1.94";"0.71";"0.31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310041] WAIGETE";"53";"5310";"5310041";"93.23";"6.56";"0.11";"0.22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310042] WAIBLAMA";"53";"5310";"5310042";"99.21";"0.22";"0.45";"0.11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310050] KEWAPANTE";"53";"5310";"5310050";"96.64";"3.36";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"92.92";"6.68";"0.00";"0.39"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310052] KANGAE";"53";"5310";"5310052";"98.20";"1.35";"0.00";"0.45"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310061] PALUE";"53";"5310";"5310061";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310062] KOTING";"53";"5310";"5310062";"97.56";"2.44";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310063] NELLE";"53";"5310";"5310063";"64.71";"35.29";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310070] NITA";"53";"5310";"5310070";"95.11";"4.66";"0.00";"0.29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310071] MAGEPANDA";"53";"5310";"5310071";"77.59";"21.55";"0.00";"0.86"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310080] ALOK";"53";"5310";"5310080";"69.23";"30.77";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310081] ALOK BARAT";"53";"5310";"5310081";"83.05";"16.95";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"92.41";"5.06";"2.53";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3114";"[5310] SIKKA";"53";"5310";"5310999";"97.12";"2.47";"0.17";"0.32"
