"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya";"n_rtup_pembibitan";"n_rtup_budidaya_dan_pembibitan";"n_rtup_jumlah";"n_rtup_budidaya_jumlah";"n_rtup_pembibitan_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310010] PAGA";"53";"5310";"5310010";"455";"0";"0";"455";"455";"0";"455"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310011] MEGO";"53";"5310";"5310011";"541";"0";"0";"541";"541";"0";"541"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310012] TANA WAWO";"53";"5310";"5310012";"215";"0";"0";"215";"215";"0";"215"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310020] LELA";"53";"5310";"5310020";"556";"0";"0";"556";"556";"0";"556"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310030] BOLA";"53";"5310";"5310030";"737";"0";"0";"737";"737";"0";"737"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310031] DORENG";"53";"5310";"5310031";"401";"0";"0";"401";"401";"0";"401"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310032] MAPITARA";"53";"5310";"5310032";"31";"0";"0";"31";"31";"0";"31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310040] TALIBURA";"53";"5310";"5310040";"1229";"0";"0";"1229";"1229";"0";"1229"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310041] WAIGETE";"53";"5310";"5310041";"1160";"1";"0";"1161";"1160";"1";"1161"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310042] WAIBLAMA";"53";"5310";"5310042";"255";"1";"0";"256";"255";"1";"256"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310050] KEWAPANTE";"53";"5310";"5310050";"830";"0";"0";"830";"830";"0";"830"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"787";"0";"0";"787";"787";"0";"787"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310052] KANGAE";"53";"5310";"5310052";"791";"0";"0";"791";"791";"0";"791"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310062] KOTING";"53";"5310";"5310062";"518";"0";"0";"518";"518";"0";"518"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310063] NELLE";"53";"5310";"5310063";"509";"0";"0";"509";"509";"0";"509"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310070] NITA";"53";"5310";"5310070";"1278";"0";"0";"1278";"1278";"0";"1278"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310071] MAGEPANDA";"53";"5310";"5310071";"278";"0";"0";"278";"278";"0";"278"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310080] ALOK";"53";"5310";"5310080";"267";"0";"0";"267";"267";"0";"267"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310081] ALOK BARAT";"53";"5310";"5310081";"91";"0";"0";"91";"91";"0";"91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"343";"0";"0";"343";"343";"0";"343"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2153_2157";"[5310] SIKKA";"53";"5310";"5310999";"11272";"2";"0";"11274";"11272";"2";"11274"
