"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_ternak_besar_produksinya_seluruhnya_dijual";"n_rtup_usaha_ternak_besar_produksinya_sebagian_besar_dijual";"n_rtup_usaha_ternak_besar_produksinya_sisanya_dijual";"n_rtup_usaha_ternak_besar_produksinya_belum_dijual";"jumlah";"n_rtup_usaha_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310010] PAGA";"53";"5310";"5310010";"53";"30";"7";"178";"268";"268"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310011] MEGO";"53";"5310";"5310011";"115";"19";"12";"291";"437";"437"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310012] TANA WAWO";"53";"5310";"5310012";"51";"55";"36";"196";"338";"338"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310020] LELA";"53";"5310";"5310020";"16";"17";"0";"80";"113";"113"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310030] BOLA";"53";"5310";"5310030";"49";"9";"5";"152";"215";"215"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310031] DORENG";"53";"5310";"5310031";"26";"27";"6";"160";"219";"219"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310032] MAPITARA";"53";"5310";"5310032";"5";"13";"50";"96";"164";"164"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310040] TALIBURA";"53";"5310";"5310040";"248";"45";"4";"444";"741";"741"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310041] WAIGETE";"53";"5310";"5310041";"76";"56";"10";"268";"410";"410"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"40";"6";"1";"105";"152";"152"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"75";"29";"1";"106";"211";"211"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"3";"5";"1";"26";"35";"35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310052] KANGAE";"53";"5310";"5310052";"73";"65";"3";"185";"326";"326"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310062] KOTING";"53";"5310";"5310062";"0";"3";"0";"5";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310063] NELLE";"53";"5310";"5310063";"15";"1";"0";"6";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310070] NITA";"53";"5310";"5310070";"12";"4";"0";"33";"49";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"91";"50";"8";"241";"390";"390"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310080] ALOK";"53";"5310";"5310080";"3";"1";"0";"7";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"87";"2";"2";"108";"199";"199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"34";"24";"5";"56";"119";"119"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310] SIKKA";"53";"5310";"5310999";"1072";"461";"151";"2743";"4427";"4427"
