"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_tanaman_umur_kurang2thn";"n_tanaman_umur_2sampai4thn";"n_tanaman_umur_4sampai6thn";"n_tanaman_umur_lebih6thn";"jumlah"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310010] PAGA";"53";"5310";"5310010";"438";"1448";"3275";"5706";"10867"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310011] MEGO";"53";"5310";"5310011";"561";"1129";"1180";"2454";"5324"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310012] TANA WAWO";"53";"5310";"5310012";"1832";"2862";"2031";"2192";"8917"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310020] LELA";"53";"5310";"5310020";"92";"45";"178";"693";"1008"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310030] BOLA";"53";"5310";"5310030";"602";"3517";"1537";"1811";"7467"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310031] DORENG";"53";"5310";"5310031";"900";"2065";"1504";"4572";"9041"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310032] MAPITARA";"53";"5310";"5310032";"164";"131";"370";"782";"1447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310040] TALIBURA";"53";"5310";"5310040";"10524";"14552";"12746";"29265";"67087"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310041] WAIGETE";"53";"5310";"5310041";"294";"556";"236";"2456";"3542"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310042] WAIBLAMA";"53";"5310";"5310042";"4440";"6444";"5038";"9005";"24927"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310050] KEWAPANTE";"53";"5310";"5310050";"473";"621";"703";"2262";"4059"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"376";"616";"377";"979";"2348"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310052] KANGAE";"53";"5310";"5310052";"1558";"904";"983";"1766";"5211"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310061] PALUE";"53";"5310";"5310061";"0";"6";"0";"1";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310062] KOTING";"53";"5310";"5310062";"84";"180";"547";"893";"1704"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310063] NELLE";"53";"5310";"5310063";"36";"25";"25";"123";"209"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310070] NITA";"53";"5310";"5310070";"2794";"3965";"3183";"5575";"15517"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310071] MAGEPANDA";"53";"5310";"5310071";"35";"39";"18";"96";"188"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310080] ALOK";"53";"5310";"5310080";"63";"34";"61";"642";"800"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310081] ALOK BARAT";"53";"5310";"5310081";"3";"3";"57";"5";"68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"90";"210";"67";"10550";"10917"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310] SIKKA";"53";"5310";"5310999";"25359";"39352";"34116";"81828";"180655"
