"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_rtup_seluruhnya_dijual";"persentase_rtup_sebagian_besar_dijual";"persentase_rtup_sebagian_besar_dikonsumsi";"persentase_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310010] PAGA";"53";"5310";"5310010";"99.52";"0.07";"0.07";"0.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310011] MEGO";"53";"5310";"5310011";"99.38";"0.14";"0.14";"0.34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310012] TANA WAWO";"53";"5310";"5310012";"99.49";"0.08";"0.17";"0.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310020] LELA";"53";"5310";"5310020";"98.54";"0.88";"0.00";"0.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310030] BOLA";"53";"5310";"5310030";"99.74";"0.20";"0.07";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310031] DORENG";"53";"5310";"5310031";"99.26";"0.37";"0.07";"0.30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310032] MAPITARA";"53";"5310";"5310032";"99.29";"0.18";"0.00";"0.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310040] TALIBURA";"53";"5310";"5310040";"94.57";"1.55";"1.94";"2.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310041] WAIGETE";"53";"5310";"5310041";"99.27";"0.24";"0.24";"0.24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310042] WAIBLAMA";"53";"5310";"5310042";"98.54";"0.29";"0.58";"0.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310050] KEWAPANTE";"53";"5310";"5310050";"98.58";"0.00";"0.00";"1.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"99.18";"0.68";"0.00";"0.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310052] KANGAE";"53";"5310";"5310052";"99.63";"0.37";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310061] PALUE";"53";"5310";"5310061";"99.31";"0.34";"0.00";"0.34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310062] KOTING";"53";"5310";"5310062";"99.30";"0.70";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310063] NELLE";"53";"5310";"5310063";"54.87";"44.25";"0.88";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310070] NITA";"53";"5310";"5310070";"98.59";"1.32";"0.00";"0.15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310071] MAGEPANDA";"53";"5310";"5310071";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310080] ALOK";"53";"5310";"5310080";"97.37";"2.63";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310081] ALOK BARAT";"53";"5310";"5310081";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"97.01";"0.00";"1.49";"1.49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3107";"[5310] SIKKA";"53";"5310";"5310999";"98.75";"0.84";"0.12";"0.31"
