"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310010] PAGA";"53";"5310";"5310010";"8";"17";"17";"50";"92";"92"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310011] MEGO";"53";"5310";"5310011";"1";"6";"3";"35";"45";"45"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310012] TANA WAWO";"53";"5310";"5310012";"4";"1";"3";"15";"23";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310020] LELA";"53";"5310";"5310020";"1";"1";"3";"17";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310030] BOLA";"53";"5310";"5310030";"4";"3";"2";"4";"13";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310031] DORENG";"53";"5310";"5310031";"1";"0";"1";"4";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310040] TALIBURA";"53";"5310";"5310040";"11";"7";"4";"21";"43";"43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310041] WAIGETE";"53";"5310";"5310041";"3";"4";"9";"26";"42";"42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310050] KEWAPANTE";"53";"5310";"5310050";"7";"7";"4";"11";"29";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"1";"0";"8";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310052] KANGAE";"53";"5310";"5310052";"12";"15";"9";"26";"62";"62"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"1";"1";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310062] KOTING";"53";"5310";"5310062";"2";"0";"2";"10";"14";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310063] NELLE";"53";"5310";"5310063";"4";"2";"1";"13";"20";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310070] NITA";"53";"5310";"5310070";"3";"1";"4";"24";"32";"32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310071] MAGEPANDA";"53";"5310";"5310071";"8";"11";"15";"52";"86";"86"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310080] ALOK";"53";"5310";"5310080";"15";"40";"10";"35";"100";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310081] ALOK BARAT";"53";"5310";"5310081";"14";"9";"9";"20";"52";"52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"16";"16";"11";"35";"78";"78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310] SIKKA";"53";"5310";"5310999";"114";"141";"108";"407";"770";"770"
