"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya";"n_rtup_pembibitan";"n_rtup_budidaya_dan_pembibitan";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310010] PAGA";"53";"5310";"5310010";"13";"0";"0";"13";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310011] MEGO";"53";"5310";"5310011";"79";"0";"0";"79";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310012] TANA WAWO";"53";"5310";"5310012";"109";"0";"0";"109";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310020] LELA";"53";"5310";"5310020";"27";"0";"0";"27";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310030] BOLA";"53";"5310";"5310030";"14";"0";"0";"14";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310031] DORENG";"53";"5310";"5310031";"14";"0";"0";"14";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310032] MAPITARA";"53";"5310";"5310032";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310040] TALIBURA";"53";"5310";"5310040";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310041] WAIGETE";"53";"5310";"5310041";"11";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310050] KEWAPANTE";"53";"5310";"5310050";"18";"0";"0";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310052] KANGAE";"53";"5310";"5310052";"5";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310062] KOTING";"53";"5310";"5310062";"12";"0";"0";"12";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310070] NITA";"53";"5310";"5310070";"124";"0";"0";"124";"124"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310071] MAGEPANDA";"53";"5310";"5310071";"22";"0";"0";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310080] ALOK";"53";"5310";"5310080";"7";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2413";"[5310] SIKKA";"53";"5310";"5310999";"483";"0";"0";"483";"483"
