"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310010] PAGA";"53";"5310";"5310010";"137106235";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310011] MEGO";"53";"5310";"5310011";"117519474";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310012] TANA WAWO";"53";"5310";"5310012";"97932785";"1";"150";"500";"0";"300";"7500"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310020] LELA";"53";"5310";"5310020";"88139421";"2";"0";"17";"10";"25";"175"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310030] BOLA";"53";"5310";"5310030";"78346084";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310031] DORENG";"53";"5310";"5310031";"88140212";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310032] MAPITARA";"53";"5310";"5310032";"39173454";"1";"15";"50";"0";"30";"900"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310040] TALIBURA";"53";"5310";"5310040";"195867030";"1";"0";"1";"0";"1";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310041] WAIGETE";"53";"5310";"5310041";"107726696";"1";"0";"30";"0";"22";"396"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310042] WAIBLAMA";"53";"5310";"5310042";"68553289";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310050] KEWAPANTE";"53";"5310";"5310050";"88139871";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"68555669";"2";"10";"10";"0";"60";"600"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310052] KANGAE";"53";"5310";"5310052";"88142931";"1";"0";"1";"0";"50";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310061] PALUE";"53";"5310";"5310061";"78349204";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310062] KOTING";"53";"5310";"5310062";"68555501";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310063] NELLE";"53";"5310";"5310063";"48968185";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310070] NITA";"53";"5310";"5310070";"146904405";"1";"0";"2";"0";"10";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310071] MAGEPANDA";"53";"5310";"5310071";"78348924";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310080] ALOK";"53";"5310";"5310080";"68556089";"1";"0";"1";"0";"105";"175"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310081] ALOK BARAT";"53";"5310";"5310081";"39174886";"3";"0";"13";"0";"103";"2030"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"107730854";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310] SIKKA";"53";"5310";"5310999";"1899931199";"14";"175";"625";"10";"706";"11952"
