"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310010] PAGA";"53";"5310";"5310010";"35";"15";"18";"131";"199";"199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310011] MEGO";"53";"5310";"5310011";"28";"20";"13";"558";"619";"619"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310012] TANA WAWO";"53";"5310";"5310012";"44";"29";"102";"404";"579";"579"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310020] LELA";"53";"5310";"5310020";"16";"25";"31";"228";"300";"300"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310030] BOLA";"53";"5310";"5310030";"26";"16";"59";"80";"181";"181"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310031] DORENG";"53";"5310";"5310031";"19";"20";"47";"166";"252";"252"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"50";"27";"78";"78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310040] TALIBURA";"53";"5310";"5310040";"74";"29";"25";"393";"521";"521"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310041] WAIGETE";"53";"5310";"5310041";"42";"54";"136";"170";"402";"402"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310042] WAIBLAMA";"53";"5310";"5310042";"9";"24";"2";"39";"74";"74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310050] KEWAPANTE";"53";"5310";"5310050";"30";"15";"19";"71";"135";"135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"34";"8";"22";"106";"170";"170"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310052] KANGAE";"53";"5310";"5310052";"92";"81";"61";"227";"461";"461"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310061] PALUE";"53";"5310";"5310061";"27";"15";"42";"49";"133";"133"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310062] KOTING";"53";"5310";"5310062";"25";"24";"4";"34";"87";"87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310063] NELLE";"53";"5310";"5310063";"21";"31";"23";"34";"109";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310070] NITA";"53";"5310";"5310070";"49";"38";"35";"129";"251";"251"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310071] MAGEPANDA";"53";"5310";"5310071";"12";"6";"9";"44";"71";"71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310080] ALOK";"53";"5310";"5310080";"23";"12";"1";"5";"41";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310081] ALOK BARAT";"53";"5310";"5310081";"22";"7";"10";"45";"84";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"66";"29";"22";"100";"217";"217"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310] SIKKA";"53";"5310";"5310999";"695";"498";"731";"3040";"4964";"4964"
