"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310010] PAGA";"53";"5310";"5310010";"73813061";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310011] MEGO";"53";"5310";"5310011";"63268182";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310012] TANA WAWO";"53";"5310";"5310012";"52723018";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310020] LELA";"53";"5310";"5310020";"47449881";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310030] BOLA";"53";"5310";"5310030";"42177604";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310031] DORENG";"53";"5310";"5310031";"47449728";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310032] MAPITARA";"53";"5310";"5310032";"21088742";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310040] TALIBURA";"53";"5310";"5310040";"105443470";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310041] WAIGETE";"53";"5310";"5310041";"57994333";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310042] WAIBLAMA";"53";"5310";"5310042";"36905876";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310050] KEWAPANTE";"53";"5310";"5310050";"47450340";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"36905764";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310052] KANGAE";"53";"5310";"5310052";"47450196";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310061] PALUE";"53";"5310";"5310061";"42177884";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310062] KOTING";"53";"5310";"5310062";"36905596";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310063] NELLE";"53";"5310";"5310063";"26361110";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310070] NITA";"53";"5310";"5310070";"79076040";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310071] MAGEPANDA";"53";"5310";"5310071";"42172844";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310080] ALOK";"53";"5310";"5310080";"36901186";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310081] ALOK BARAT";"53";"5310";"5310081";"21086370";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"57987435";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2167";"[5310] SIKKA";"53";"5310";"5310999";"1022788660";"0";"0";"0";"0";"0";"0"
